idsupermercado;nombreproducto;precioproducto;precioporunidadproducto
1;Patatas prefritas Patatas Unidas Dia bolsa 1 Kg;1.85;1.85
1;Patatas gajo Patatas Unidas Dia bolsa 750 g;1.80;2.40
1;Patatas prefritas Patatas Unidas Dia bolsa 2 Kg;2.48;1.24
1;Patatas finas prefritas Patatas Unidas Dia bolsa 1 Kg;1.93;1.93
1;Patatas gajo barbacoa McCain bolsa 750 g;3.59;4.79
1;Tortilla de patatas con cebolla La cocina de senen caja 600 g;6.99;11.65
1;Braseado de verduras con pollo asado Al Punto Dia bolsa 400 g;1.99;4.98
1;Verduras en tempura Al Punto Dia bolsa 400 g;2.69;6.73
1;Pisto de verduras con tomate Al Punto Dia bolsa 450 g;1.99;4.42
1;Salteado de verduras Al Punto Dia bolsa 400 g;1.01;2.53
1;Mezcla de pimientos Vegecampo de Dia bolsa 400 g;1.16;2.90
1;Parrillada de verduras asadas Al Punto Dia bolsa 400 g;1.55;3.88
1;Quinoa con verduras  Al Punto Dia bolsa 400 g;1.99;4.98
1;Salteado de gambas. ajetes y espárragos verdes Al Punto Dia bolsa 400 g;2.79;6.98
1;Brócoli Vegecampo de Dia bolsa 900 g;1.89;2.10
1;Guisantes Vegecampo de Dia bolsa 1 Kg;1.65;1.65
1;Alcachofa troceada Vegecampo de Dia bolsa 400 g;2.65;6.63
1;Coliflor Vegecampo de Dia bolsa 1 Kg;1.99;1.99
1;Guisantes superfinos Vegecampo de Dia bolsa 300 g;0.99;3.30
1;Brócoli. coliflor y zanahoria Vegecampo de Dia bolsa 1 Kg;2.00;2.00
1;Menestra de verduras Vegecampo de Dia bolsa 1 Kg;1.79;1.79
1;Arroz de coliflor Vegecampo de Dia bolsa 450 g;1.49;3.31
1;Alcachofas baby Vegecampo de Dia bolsa 300 g;3.05;10.17
1;Mini empanadillas de atún Al Punto Dia bolsa 400 g;1.57;3.93
1;Rabas empanadas Mari Marinera de Dia bolsa 400 g;3.59;8.98
1;Croquetas de cocido Al Punto Dia bolsa 350 g;2.00;5.71
1;Caprichos del mar Mari Marinera de Dia bolsa 400 g;1.99;4.98
1;Fingers de pollo Al Punto Dia bolsa 400 g;3.19;7.98
1;Nuggets de pollo Al Punto Dia bolsa 400 g;2.99;7.48
1;Solomillo de pollo empanado Selección de Dia bandeja 550 g aprox.;4.94;8.99
1;Tequeños de queso Al Punto Dia bolsa 240 g;3.49;14.54
1;Burger crunchy chicken 2 unidades Selección de Dia bandeja 240 g;1.99;8.29
1;Gyozas de pollo Vici bolsa 400 g;3.99;9.98
1;Nuggets de merluza Pescanova bolsa 360 g;2.25;6.25
1;Crunchy de pollo con salsa barbacoa Fripozo bolsa 300 g;2.69;8.97
1;Porras fritas Al Punto Dia bolsa 250 g;1.99;7.96
1;Varitas de merluza Mari Marinera de Dia caja 450 g;4.39;9.76
1;Croquetas de merluza y langostino Al Punto Dia bolsa 350 g;2.29;6.54
1;Anillas a la romana Mari Marinera de Dia bolsa 400 g;3.44;8.60
1;Varitas de pescado MSC Findus caja 250 g;2.99;11.96
1;Filetes de pescado con limón MCS Findus caja 225 g;3.79;16.84
1;Filetes de salmón salvaje MSC Mari Marinera de Dia bolsa 360 g;5.99;16.64
1;Merluza rebozada al huevo MSC Mari Marinera de Dia caja 340 g;2.79;8.21
1;Rabas empanadas Mari Marinera de Dia bolsa 400 g;3.59;8.98
1;Filete de boquerón en tempura Cocinarte bolsa 400 g;3.75;9.38
1;Lomos de salmón Selección Mundial de Dia bolsa 250 g;6.39;25.56
1;Filetes de merluza del cabo sin piel MSC Mari Marinera de Dia bolsa 600 g;5.29;8.82
1;Gambas peladas medianas 70/90 piezas Mari Marinera de Dia bolsa 350 g;4.81;13.74
1;Filetes de atún MSC Mari Marinera de Dia bandeja 250 g;3.43;13.73
1;Sucedáneo de angula MSC Mari Marinera de Dia bandeja 250 g;1.99;7.96
1;Sucedáneo de angula con gambas refrigerado Mari Marinera de Dia bandeja 200 g;2.89;14.45
1;Rodajas de emperador Mari Marinera de Dia bolsa 475 g;5.99;12.61
1;Tiras de potón Mari Marinera de Dia bolsa 350 g;3.49;9.97
1;Gambón crudo Mari Marinera de Dia caja 800 g;9.99;12.49
1;Anillas a la romana Mari Marinera de Dia bolsa 400 g;3.44;8.60
1;Filetes de dorada Mari Marinera de Dia bolsa 180 g;3.99;22.17
1;Filetes de abadejo MSC Mari Marinera de Dia bolsa 500 g;4.99;9.98
1;Porciones de merluza del cabo MSC Mari Marinera de Dia caja 400 g;3.69;9.23
1;Medallones de merluza del cabo MSC Mari Marinera de Dia bolsa 475 g;4.39;9.24
1;Calamar entero limpio patagónico Mari Marinera de Dia bandeja 400 g;5.49;13.73
1;Anillas de pota Mari Marinera de Dia bolsa 350 g;4.99;14.26
1;Sucedáneo de angula refrigerado MSC Mari Marinera de Dia bandeja 200 g;2.79;13.95
1;Varitas de merluza Mari Marinera de Dia caja 450 g;4.39;9.76
1;Sucedáneo de angula con gambas Mari Marinera de Dia bandeja 250 g;2.49;9.96
1;Arroz tres delicias Al Punto Dia bolsa 850 g;2.42;2.85
1;Papel para freidora de aire Super Paco de Dia bolsa 25 unidades;1.99;0.08
1;Aceite de girasol alto oleico especial freidora de aire Diasol spray 200 ml;1.99;9.95
1;Papel de horno Super Paco de Dia caja 20 unidades;1.13;0.06
1;Aceite de semillas especial freidora de aire La española spray 200 ml;2.55;12.75
1;Lasaña boloñesa Al Punto Dia caja 300 g;1.69;5.63
1;Gnocchis con pollo y verduras Al Punto Dia bolsa 450 g;2.36;5.24
1;Relleno para fajitas con pollo. pimientos y cebolla Al Punto Dia bolsa 300 g;1.95;6.50
1;Rollitos de primavera Al Punto Dia caja 320 g;1.99;6.22
1;Canelones de carne Al Punto Dia bolsa 300 g;1.69;5.63
1;Canelones de atún Al Punto Dia caja 300 g;1.69;5.63
1;Croquetas de cocido Al Punto Dia bolsa 350 g;2.00;5.71
1;Lasaña de verdura Al Punto Dia bolsa 300 g;1.69;5.63
1;Flautas de pollo y 2 quesos Al Punto Dia bandeja 275 g;2.16;7.85
1;Arroz negro Al Punto Dia bolsa 330 g;1.99;6.03
1;Flautas de carne y salsa barbacoa con bacon Al Punto Dia bandeja 275 g;2.16;7.85
1;Pimientos rellenos de bacalao MSC Al Punto Dia bolsa 240 g;2.45;10.21
1;Flautas de bacon y 2 quesos Al Punto Dia bandeja 275 g;2.16;7.85
1;Croquetas de merluza y langostino Al Punto Dia bolsa 350 g;2.29;6.54
1;Rollitos de primavera Al Punto Dia bandeja 280 g;2.45;8.75
1;Lasaña boloñesa sin gluten Al Punto Dia bandeja 525 g;3.79;7.22
1;Tortilla de patatas con cebolla La cocina de senen caja 600 g;6.99;11.65
1;Burger crunchy chicken bacón y queso Selección de Dia bandeja 200 g;1.99;9.95
1;Fingers de pollo Al Punto Dia bolsa 400 g;3.19;7.98
1;Kebab de pollo loncheado Al Punto Dia bolsa 250 g;3.25;13.00
1;Alas adobadas de pollo Selección de Dia bandeja 450 g aprox.;2.70;5.99
1;Solomillo de pollo empanado Selección de Dia bandeja 550 g aprox.;4.94;8.99
1;Nuggets de pollo Al Punto Dia bolsa 400 g;2.99;7.48
1;Cordon bleu de pollo y pavo Bonchef bandeja 260 g;2.79;10.73
1;Burger crunchy chicken 2 unidades Selección de Dia bandeja 240 g;1.99;8.29
1;Crunchy de pollo con salsa barbacoa Fripozo bolsa 300 g;2.69;8.97
1;Alitas de pollo barbacoa La cocinera caja 300 g;4.99;16.63
1;Bacon en tiras Nuestra Alacena de Dia bandeja 2 x 100 g;1.84;9.20
1;Pechuga de pavo Nuestra Alacena de Dia sobre 2 x 200 g;3.90;9.75
1;Jamón cocido extra Nuestra Alacena de Dia sobre 2 x 225 g;3.45;7.67
1;Jamón cocido extra 97% carne Nuestra Alacena de Dia sobre 150 g;1.99;13.27
1;Bacon en lonchas Nuestra Alacena de Dia sobre 200 g;2.19;10.95
1;Mortadela con aceitunas Nuestra Alacena de Dia sobre 250 g;1.25;5.00
1;Mortadela Nuestra Alacena de Dia sobre 250 g;1.25;5.00
1;Jamón de pavo finas lonchas Nuestra Alacena de Dia sobre 180 g;1.60;8.89
1;Lacón ahumado Nuestra Alacena de Dia sobre 150 g;1.79;11.93
1;Jamón cocido extra Elpozo 1954 sobre 150 g;2.00;13.33
1;Fiambre maxi york Nuestra Alacena de Dia sobre 350 g;1.89;5.40
1;Mortadela Bologna I.G.P. Selección Mundial de Dia sobre 150 g;1.99;13.27
1;Pechuga de pollo braseado Nuestra Alacena de Dia sobre 200 g;2.20;11.00
1;Pechuga de pavo braseado Nuestra Alacena de Dia sobre 200 g;1.99;9.95
1;Chopped lata Nuestra Alacena de Dia Dia sobre 150 g;1.69;11.27
1;Pechuga de pavo bajo en sal Nuestra Alacena de Dia sobre 200 g;2.13;10.65
1;Jamón cocido extra bajo en sal Nuestra Alacena de Dia sobre 200 g;1.99;9.95
1;Pechuguitas de pollo asada La carloteña bandeja 100 g;2.19;21.90
1;Pavo maxi Nuestra Alacena de Dia 900 g + 100 g;3.09;3.43
1;Fiambre de pavo sándwich Elpozo bandeja 270 + 30 g;2.00;7.41
1;Mortadela de pavo Nuestra Alacena de Dia sobre 200 g;1.75;8.75
1;Guanciale Selección Mundial de Dia bandeja 100 g;2.19;21.90
1;Mortadela Nuestra Alacena de Dia 500 g;1.99;3.98
1;Pechuga de pavo 92% carne Nuestra Alacena de Dia sobre 120 g;2.39;19.92
1;Jamón de pavo con trufa y boletus Elpozo sobre 120 + 20 g;2.00;16.67
1;Jamón cocido Elpozo sobre 80 g;1.00;12.50
1;Jamón cocido extra Nuestra Alacena de Dia sobre 250 g;2.25;9.00
1;Bacon en taco Nuestra Alacena de Dia bolsa 300 g;3.09;10.30
1;Pechuga de pollo Nuestra Alacena de Dia sobre 200 g;2.19;10.95
1;Jamón cocido extra Nuestra Alacena de Dia sobre 200 g;2.00;10.00
1;Jamón cocido extra braseado  Nuestra Alacena de Dia sobre 150 g;2.25;15.00
1;Chopped pork Nuestra Alacena de Dia 500 g;2.25;4.50
1;Jamón asado al horno Bonnatur sobre 100 g;2.00;20.00
1;Pechuga de pavo Campofrío sobre 75 g;1.00;13.33
1;Jamón cocido Campofrío Finissimas sobre 75 g;1.00;13.33
1;Pechuga de pavo Elpozo Bienstar bandeja 65 g;1.00;15.38
1;Mortadela clásica Campofrío sobre 95 g;1.00;10.53
1;Queso semicurado Mahón Quesería del Mundo 220 g;3.49;15.86
1;Queso mozzarella rallado Dia Láctea bolsa 200 g;1.65;8.25
1;Queso semicurado ibérico Quesería del Mundo 175 g;2.99;17.09
1;Queso mezcla 4 quesos rallado Dia Láctea bolsa 200 g;1.99;9.95
1;Queso sándwich Dia Láctea sobre 160 g;1.35;8.44
1;Queso tierno de vaca El Cencerro de Dia 200 g;1.79;8.95
1;Rulo de queso de cabra Dia Lactea 140 g;1.32;9.43
1;Queso de cabra roqueforti Quesería del Mundo 150 g;2.99;19.93
1;Queso especial pasta en polvo Dia Láctea bolsa 150 g;1.35;9.00
1;Queso semicurado El Cencerro de Dia 250 g;2.75;11.00
1;Jamón de cebo ibérico 50% Nuestra Alacena de Dia bandeja 90 g;4.77;53.00
1;Paleta de cebo ibérica 50% Nuestra Alacena de Dia bandeja 100 g;4.99;49.90
1;Jamón Serrano reserva Nuestra Alacena de Dia bandeja 200 g;3.69;18.45
1;MEDIAS LONCHAS Jamón Serrano Nuestra Alacena de Dia bandeja 100 g;1.65;16.50
1;LONCHAS EXTRAFINAS Jamón Serrano Nuestra Alacena de Dia bandeja 120 g;2.35;19.58
1;Mini taquitos de jamón Nuestra Alacena de Dia bandeja 2 x 75 g;2.21;14.73
1;Jamón curado Navidul sobre 45 g;1.00;22.22
1;Paleta Curada 50% Duroc Nuestra Alacena de Dia bandeja 110 g;2.69;24.45
1;Pizcas de jamón de cebo ibérico 50 % Nuestra Alacena de Dia bandeja 60 g;1.99;33.17
1;Jamón curado Elpozo 1954 bandeja 2 x 75 g;3.00;20.00
1;TAQUITOS de Jamón Curado para cocinar Nuestra Alacena de Dia sobre 2 x 75 g;2.19;14.60
1;Jamón curado Elpozo 1954 sobre 100 g;2.00;20.00
1;PÉTALOS Jamón de cebo Ibérico 50% Nuestra Alacena de Dia sobre 90 g;4.49;49.89
1;Jamón curado bajo en sal Navidul sobre 45 g;1.00;22.22
1;TACO de jamón curado Nuestra Alacena de Dia 200 g;3.75;18.75
1;Jamón Serrano 50% Duroc Nuestra Alacena de Dia sobre 125 g;3.99;31.92
1;PÉTALOS paleta de cebo ibérica 50% Nuestra Alacena de Dia sobre 90 g;4.49;49.89
1;Salchichón extra Nuestra Alacena de Dia bandeja 2 x 100 g;1.71;8.55
1;Chorizo extra Nuestra Alacena de Dia bandeja 2 x 100 g;1.75;8.75
1;Fuet extra Nuestra Alacena de Dia bolsa 2 x 170 g;3.99;11.74
1;Lomo embuchado Nuestra Alacena de Dia bandeja 2 x 70 g;2.69;19.21
1;Espetec extra Casa Tarradellas bolsa 180 g;2.49;13.83
1;Chorizo extra dulce Nuestra Alacena de Dia bolsa 270 g;2.40;8.89
1;Longaniza payés extra Nuestra Alacena de Dia bandeja 2 x 50 g;1.79;17.90
1;Chorizo de pamplona extra Nuestra Alacena de Dia bandeja 2 x 100 g;1.99;9.95
1;Chorizo y salchichón extra Nuestra Alacena de Dia bandeja 2 x 100 g;2.39;11.95
1;Salami extra Nuestra Alacena de Dia bandeja 200 g;1.62;8.10
1;Salchichón ibérico extra Nuestra Alacena de Dia bandeja 2 x 60 g;2.19;18.25
1;Chorizo ibérico extra Nuestra Alacena de Dia bandeja 2 x 60 g;2.19;18.25
1;Chorizo de león picante Nuestra Alacena de Dia bandeja 100 g;1.99;19.90
1;Chorizo Revilla sobre 65 g;1.00;15.38
1;Salami extra Revilla sobre 65 g;1.00;15.38
1;Salchichón a la pimienta Sola bandeja 100 g;1.99;19.90
1;Salchichón nobleza Elpozo bandeja 65 g;1.00;15.38
1;Chorizo dulce Palacios bolsa 250 g;3.95;15.80
1;Longaniza con pavo Elpozo bolsa 230 g;2.99;13.00
1;Chorizo extra picante Revilla sobre 65 g;1.00;15.38
1;Lomo embuchado ya cortado España e hijos sobre 200 g;4.25;21.25
1;Pétalos salchichón extra 50% duroc Nuestra Alacena de Dia sobre 80 g;1.99;24.88
1;Salchichón extra ya cortado España e hijos sobre 200 g;2.99;14.95
1;Chorizo extra ya cortado España e hijos sobre 200 g;2.99;14.95
1;Lomo de cebo ibérico 50% Nuestra Alacena de Dia bandeja 80 g;4.24;53.00
1;Queso fresco natural Dia Láctea tarrina 4 x 62.5 g;1.09;4.36
1;Queso mozzarella fresca Selección Mundial de Dia bolsa 125 g;1.09;8.72
1;Queso fresco de vaca El Cencerro de Dia tarrina 250 g;1.66;6.64
1;Queso fresco natural Dia Láctea tarrina 250 g;1.05;4.20
1;Queso fresco 0% m.g Dia Láctea tarrina 4 x 62.5 g;1.09;4.36
1;Queso fresco de cabra El Cencerro de Dia tarrina 250 g;2.70;10.80
1;Queso burrata Selección Mundial de Dia tarrina 150 g;2.28;15.20
1;Queso feta D.O.P. Selección Mundial de Dia bolsa 150 g;2.45;16.33
1;Perlas de mozzarella Selección Mundial de Dia tarrina 125 g;1.75;14.00
1;Queso fresco artesano Vega e Hijos tarrina 250 g;2.99;11.96
1;Queso fresco bajo en sal Dia Láctea tarrina 4 x 62.5 g;1.29;5.16
1;Queso mozzarella di bufala campana D.O.P. Selección Mundial de Dia tarrina 125 g;1.85;14.80
1;Queso mascarpone Selección Mundial de Dia tarrina 250 g;2.65;10.60
1;Mozzarella light Galbani bolsa 125 g;1.99;15.92
1;Queso fresco protein plus Burgo de Arias tarrina 3 x 70 g;1.99;9.48
1;Queso fresco natural Burgo de Arias tarrina 3 x 72 g;3.29;15.23
1;Queso fresco 0% m.g Burgo de Arias tarrina 3 x 72 g;3.29;15.23
1;Queso fresco cottage El ventero tarrina 180 g;1.75;9.72
1;Queso roquefort Selección Mundial de Dia bandeja 100 g;1.90;19.00
1;Queso azul Dia Láctea bandeja 150 g;1.99;13.27
1;Queso gorgonzola D.O.P. Selección Mundial de Dia bandeja 150 g;1.88;12.53
1;Queso picón azul Quesería del Mundo 150 g;2.49;16.60
1;Queso brie azul Petit blue 150 g;2.25;15.00
1;Queso de untar natural Dia Láctea tarrina 250 g;1.25;5.00
1;Queso fundido sándwich Dia Láctea bolsa 200 g;0.99;4.95
1;Crema con queso de cabra Dia Láctea tarrina 125 g;1.49;11.92
1;Queso de untar natural light Dia Láctea tarrina 250 g;1.25;5.00
1;Crema con queso camembert Dia Láctea tarrina 125 g;1.49;11.92
1;Queso fundido light en porciones Dia Láctea caja 250 g;1.68;6.72
1;Crema con queso semicurado Dia Láctea tarrina 125 g;1.49;11.92
1;Queso fundido en porciones Dia Láctea caja 375 g;2.21;5.89
1;Queso fundido en porciones Dia Láctea caja 250 g;1.65;6.60
1;Mini queso tierno snack Babybel malla 120 g;2.99;24.92
1;Queso de untar blanco con piña Castello tarrina 125 g;1.99;15.92
1;Queso de untar light Philadelphia tarrina 350 g;3.69;10.54
1;Queso fundido light en porciones La Vaca que ríe caja 250 g;2.99;11.96
1;Mousse de queso con nueces President Bon délice tarrina 125 g;2.09;16.72
